Name,Medium,Type,Title,Author,Editor,Translator,Publisher,Year,Language,Genre,Identifying Number,Accession Number,Donor,Notes
[Literary Concordances: A Complete Handbook for the Preparation of Manual and Computer Concordances],Printed Matter,Book,A Complete Handbook for the Preparation of Manual and Computer Concordances,T. H. Howard-Hill,N/A,N/A,Pergamon Press,1979,English,Concordances--Data Processing,ISBN 0-08-023021-0,2013.07.656,Aaron Kuhn,
[The Humanities Computing Yearbook - 1988],Printed Matter,Book,The Humanities Computing Yearbook - 1988,N/A,Ian Lancashire and Willard McCarty,N/A,Clarendon Press,1988,English,Humanities,ISBN 0-19-824442-8,2013.07.658,Aaron Kuhn,
[Scholarly Editing in the Computer Age: Theory and Practice],Printed Matter,Book,Theory and Practice,Peter L. Shillingsburg,N/A,N/A,University of Georgia Press,1986,English,Editing,ISBN 0-8203-0889-7,2013.07.659,Aaron Kuhn,
[Computing in the Web Age: A Web-Interactive Introduction],Printed Matter,Book,A Web-Interactive Introduction,Robert J. Dilligan,N/A,N/A,Plenum Press,1998,English,Educational,ISBN 0-306-45972-8,2013.07.660,Aaron Kuhn,
[Computers for Everybody],Printed Matter,Book,Computers for Everybody,Jerry Willis and Merl Miller,N/A,N/A,Dilithium Press,1983,English,Educational,ISBN 0-88056-094-0,2013.07.661,Aaron Kuhn,
[Software Reflected: The Socially Responsible Programming of Our Computers],Printed Matter,Book,The Socially Responsible Programming of Our Computers,Robert L. Baber,N/A,N/A,North-Holland Publishing Company,1982,English,Programming,ISBN 0-444-86372-9,2013.07.662,Aaron Kuhn,
[Computers and Common Sense: The Myth of Thinking Machines],Printed Matter,Book,The Myth of Thinking Machines,Mortimer Taube,N/A,N/A,Columbia UP,1962,English,Computers,Library of Congress Catalog Card Number 61-17079,2013.07.663,Aaron Kuhn,
[PET/CBM Personal Computer Guide],Printed Matter,Book,PET/CBM Personal Computer Guide,Adam Osborne and Carroll S. Donahue,N/A,N/A,Osborne/McGraw-Hill,1980,English,CBM Computers--Guide,ISBN 0-931988-55-1,2013.07.679,,Second Edition
[The Complete HyperCard Handbook],Printed Matter,Book,The Complete HyperCard Handbook,Danny Goodman,N/A,N/A,Bantam Books,1988,English,HyperCard (Program)--Guide,ISBN 0-553-34577-X,2013.07.683,Miekal And,"2014.1.115, 2014.1.116."
[Your First Business Computer],Printed Matter,Book,Your First Business Computer,Peter Luedtke and Rainer Luedtke,N/A,N/A,Digital Press,1983,English,Educational,ISBN 0-932376-27-4,2013.07.687,,
[Mystery Mile],Printed Matter,Book,Mystery Mile,Margery Allingham,N/A,N/A,MacFadden Books,1963,English,Fiction,,2013.07.689,Aaron Kuhn,
[Computer Power and Human Reason: From Judgment to Calculation],Printed Matter,Book,From Judgment to Calculation,Joseph Weizenbaum,N/A,N/A,W.H. Freeman and Company,1976,English,Computers,ISBN 0-7167-0463-3,2013.07.690,Aaron Kuhn,
[Kids and the Commodore 64],Printed Matter,Book,Kids and the Commodore 64,Edward H. Carlson,N/A,N/A,DATAMOST,1983,English,Commodore 64 (Computer)--Children's Guide,ISBN 0-88190-172-5,2013.07.692,,
[Amiga Machine Language: A Practical Guide to Learning 68000 Assembler Language on the Amiga],Printed Matter,Book,A Practical Guide to Learning 68000 Assembler Language on the Amiga,Dittrich,N/A,N/A,Abacus,1988,English,Amiga Machine Language--Programming,ISBN 1-55755-025-5,2013.07.693,,
"[The Amiga: Images, Sounds, and Animation on the Commodore Amiga]",Printed Matter,Book,"Images, Sounds, and Animation on the Commodore Amiga",Michael Boom,N/A,N/A,Microsoft Press,1986, English,Amiga (Computer)--Programming,ISBN 0-914845-62-4,2013.07.696,,
[The ABC’s of Windows 3.1],Printed Matter,Book,The ABC’s of Windows 3.1,Alan R. Neibaeur,N/A,N/A,SYBEX,1992,English,Windows OS--Reference Guide,ISBN 0-89588-839-4,2013.07.729,Aaron Kuhn,
[Memory and Storage (Understanding Computers)],Printed Matter,Book,Memory and Storage (Understanding Computers),N/A,"Lee Hassig, et al.",N/A,Time-Life Books,1987,English,Educational,ISBN 0-8094-5683-4,2013.07.816,Aaron Kuhn,
[Atari BASIC],Printed Matter,Book,Atari BASIC,"Bob Albrecht, Le Roy Finkel, and Jerald R. Brown",N/A,N/A,John Wiley & Sons,1979,English,Atari 400 (Computer)--Programming,ISBN 0-471-06496-3,2013.07.829,Timothy P. Sweeney,Photocopied pages in white binder.
[The Silicon Idol: The Micro Revolution and Its Social Implications],Printed Matter,Book,The Micro Revolution and Its Social Implications,Michael Shallis,N/A,N/A,Oxford UP,1984,English,Computers and Civilization,ISBN 0-19-215877-5,2013.08.12,Aaron Kuhn,
[LOGO],Printed Matter,Book,LOGO,Harold Abelson,N/A,N/A,MIT,1981,English,N/A,N/A,2013.10.37,Brad Feld,Book Draft
[BASIC for the Apple II: Programming and Applications],Printed Matter,Book,Programming and Applications,Larry Joel Goldstein and Martin Goldstein,N/A,N/A,Robert J. Brady Co.,1982,English,Apple II (Computer)--Programming,ISBN 0-89303-189-5,2013.10.63,Brad Feld,
[6502: Assembly Language Subroutines],Printed Matter,Book,Assembly Language Subroutines,Lance A. Leventhal and Winthrop Saville,N/A,N/A,Osborne/McGraw-Hill,1982,English,Programming Guide,ISBN 0-931988-59-4,2013.10.65,Brad Feld,
[Apple BASIC: Data File Programming],Printed Matter,Book,Data File Programming,LeRoy Finkel and Jerald R. Brown,N/A,N/A,John Wiley & Sons,1982,English,BASIC (Computer Program Language),ISBN 0-471-09157-X,2013.10.67,Brad Feld,2013.07.715.
[Microcomputer: Problem Solving Using PASCAL],Printed Matter,Book,Problem Solving Using PASCAL,Kenneth L. Bowles,N/A,N/A,Springler-Verland (New York),1977, English,Instructional,0-387-90286-4,2013.10.69,Brad Feld,
[PASCAL User Manual and Report],Printed Matter,Book,PASCAL User Manual and Report,Kathleen Jensen and Niklaus Wirth,N/A,N/A,Springer-Verlag,1978,English,PASCAL (Computer Programming Language),ISBN 0-387-90144-2,2013.10.70,Brad Feld,
[Assembly Lines: The Book - A Beginner’s Guide to 6502 Programming on the Apple II],Printed Matter,Book,The Book - A Beginner’s Guide to 6502 Programming on the Apple II,Robert Wagner,N/A,N/A,Softalk Publishing,1982,English,Programming Guide,Library of Congress Catalog Card Number 81-85708,2013.10.71,Brad Feld,
[WordStar with Style],Printed Matter,Book,WordStar with Style,"Roger B. White, Jr.",N/A,N/A,Reston Publishing Company,1983,English,Word Processing Guide,ISBN 0-8359-8793-0,2013.10.72,Brad Feld,
[WordStar Made Easy],Printed Matter,Book,WordStar Made Easy,"Ettlin, Walter A.",N/A,N/A,Osborne/McGraw-Hill,1981,English,Word Processing Guide,ISBN 0-931988-69-1,2013.10.73,Brad Feld,
[Beneath Apple DOS],Printed Matter,Book,Beneath Apple DOS,Don Worth and Pieter Lechner,N/A,N/A,Quality Software,1981,English,DOS--Guide,N/A,2013.10.78,Brad Feld,
[Nightcrawlers on the Web],Printed Matter,Book,Nightcrawlers on the Web,Johanna Drucker,N/A,N/A,JABBOOKS,2000,English,Artist Book,ISBN 1-8871-2342-3,2013.11.1,Matthew Kirschenbaum,//mediaarchaeologylab.com/wp-content/uploads/2013/09/Night-Crawlers-Reduced.pdf
[Using 6502 Assembly Language: How Anyone Can Program the Apple II],Printed Matter,Book,How Anyone Can Program the Apple II,Randy Hyde,N/A,N/A,DATAMOST,1981,English,Programming Guide,N/A,2013.12.11,Brad Feld,
[SIMTEC - Kids Computer Kamp: A SIMTEC Programming Course for Young People],Printed Matter,Book,A SIMTEC Programming Course for Young People,Simtec,N/A,N/A,Simtec,1983,English,Computers--Children’s Guide,N/A,2013.12.21,Brad Feld,Personal Productivity Courses (Spring Summer 1983)
[SIMTEC - Simplified Technology Course: Introductory VisiCalc for the Corporate Planner],Printed Matter,Book,Introductory Visicalc for the Corporate Planner,Eric Taylor and John Dunn,N/A,N/A,Simtec,1982,English,VisiCalc (Program)--Guide,N/A,2013.12.22,Brad Feld,Personal Productivity Courses (Spring Summer 1983)
[SIMTEC - How to Operate Wordstar],Printed Matter,Book,SIMTEC - How to Operate WordStar,Simtec,N/A,N/A,Simtec,1983,English,WordStar (Program)--Guide,N/A,2013.12.23,Brad Feld,Personal Productivity Courses (Spring Summer 1983)
