,Medium,Type,Secondary Type,Tertiary Type,Product Name,Username,Manufacturer,Model,Developer,Author,Editor,Publisher,Language,Year,Original Price,Identifying Number,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatibility,Accession Number,Date Tested,Donor,notes,
Dictation Disc Set: Word Beginnings and Endings,Audio-Visual,Audio,Audio Recording,Record,Dictation Disc Set: Word Beginnings and Endings,,,"Set No. 481, Record 141-144",,,,Dictation Disc Co.,English,,,RK4B 0496-0503,,,,,,,,,,2023.11.196,,,stored in original box,
Dictation Disc Set: 5-Minute Dictations,Audio-Visual,Audio,Audio Recording,Record,Dictation Disc Set: 5-Minute Dictations,,,"Set No. 450, Record 126-128",,,,Dictation Disc Co.,English,,,L8OH 5216-5221,,,,,,,,,,2023.11.197,,,stored in original box,
Shorthand Dictation for Speed Building,Audio-Visual,Audio,Audio Recording,Record,Shorthand Dictation for Speed Building,,,"Series 4-A, Record No. 2",,,,Dictation Disc Co.,English,,,E3-KP-3594/3595,,,,,,,,,,2023.11.198,,,,
Shorthand Dictation for Speed Building,Audio-Visual,Audio,Audio Recording,Record,Shorthand Dictation for Speed Building,,,"Series 4-A, Record No. 1",,,,Dictation Disc Co.,English,,,E3-KP-3592/3593,,,,,,,,,,2023.11.199,,,,
Actual Business Letters Dictated at Various Speeds: Shorthand,Audio-Visual,Audio,Audio Recording,Record,Actual Business Letters Dictated at Various Speeds: Shorthand,,,Vol. 400,,,,Steno-Disc Records,English,,,,,,,,,,,,,2023.11.200,,,,
Actual Business Letters Dictated at Various Speeds: Shorthand,Audio-Visual,Audio,Audio Recording,Record,Actual Business Letters Dictated at Various Speeds: Shorthand,,,Vol. 401,,,,Steno-Disc Records,English,,,,,,,,,,,,,2023.11.201,,,,
Actual Business Letters Dictated at Various Speeds: Shorthand,Audio-Visual,Audio,Audio Recording,Record,Actual Business Letters Dictated at Various Speeds: Shorthand,,,Vol. 500,,,,Steno-Disc Records,English,,,,,,,,,,,,,2023.11.202,,,,
Actual Business Letters Dictated at Various Speeds: Shorthand,Audio-Visual,Audio,Audio Recording,Record,Actual Business Letters Dictated at Various Speeds: Shorthand,,,Vol. 501,,,,Steno-Disc Records,English,,,,,,,,,,,,,2023.11.203,,,,
Shorthand Dictation for Speed Building,Audio-Visual,Audio,Audio Recording,Record,Shorthand Dictation for Speed Building,,,Set No. 2,,,,Dictation Disc Co.,English,,,,,,,,,,,,,2023.11.204,,,,
Steno-Speed Dictation Speed and Accuracy Training Course,Audio-Visual,Audio,Audio Recording,Record,Steno-Speed Dictation Speed and Accuracy Training Course,,,No. S203,,,,Conversaphone,English,1961,,,,,,,,,,,,2023.11.205,,,,
Zenith System 3 Television,Audio-Visual,A/V,Audio & Visual Display,Television,Zenith System 3 Television,,Zenith,,,,,,,,,KS 230127,,,,,,,,,,2024.1.11,,Conference on World Affairs,,
Sony U-Matic Videocassette Player,Audio-Visual,A/V,Audio & Visual Playback,U-Matic Player,Sony U-matic Videocassette Player,,Sony,VP-7020,,,,,,1994,,20822,,,,,,,,,,2024.1.12,,Longmont Museum,,
Sony Betacam Videocassette Player,Audio-Visual,A/V,Audio & Visual Playback,Betamax Player,Sony Betacam Videocassette Player,,Sony,PVW-2600,,,,,,1993,,90035,,,,,,,,,,2024.1.13,,Longmont Museum,,
Snoopy Come Home,Audio-Visual,A/V,Audio & Visual Recording,Betamax Recording,Snoopy Come Home,,,Cat. No. 7125,,,,CBS FOX Video,English,1972,,,,,,,,,,,,2024.1.15,,Eric Perez,,
A Boy Named Charlie Brown,Audio-Visual,A/V,Audio & Visual Recording,Betamax Recording,A Boy Named Charlie Brown,,,Cat. No. 7121,,,,CBS FOX Video,English,1969,,,,,,,,,,,,2024.1.16,,Eric Perez,,
The Lord of the Rings,Audio-Visual,A/V,Audio & Visual Recording,VHS,The Lord of the Rings,,,,,,,Warner Bros. Family Entertainment,English,1978,,,,,,,,,,,,2024.1.22,2024-01-20,Eric Perez,,
Doing With Images Makes Symbols: Communicating with Computers,Audio-Visual,A/V,Audio & Visual Recording,VHS,Doing With Images Makes Symbols: Communicating with Computers,,,,,,,University Video Communications,English,1987,,,,,,,,,,,,2024.2.15,,Chris Torrence,,
John Harrison and his Timekeepers,Audio-Visual,A/V,Audio & Visual Recording,VHS,John Harrison and his Timekeepers,,,,,,,National Maritime Museum,English,2001,£5.00,,,,,,,,,,,2024.2.16,,Chris Torrence,,
General Electric Light Meter,Audio-Visual,Visual,Image-making,Camera Accessory,General Electric Light Meter,,General Electric,8DW58Y4,,,,,,,,B91400,,,,,,,,,,2024.2.20,,,,
Sony SRS-5 Speaker System,Audio-Visual,Audio,Portable Audio Player,Accessory,Sony SRS-5 Speaker System,,Sony,,,,,,,,,,,,,,,,,,,2024.2.21,,,,
Earbuds,Audio-Visual,Audio,Portable Audio Player,Accessory,Earbuds,,,,,,,,,,,,,,,,,,,,,2024.2.22,,,,
Richard Simmons' Colors of Your Life,Audio-Visual,Audio,Audio Recording,Cassette Tape,Richard Simmons' Colors of Your Life,,,08-00694,,,,GT Merchandising & Licensing Corp.,English,1998,,,,,,,,,,,,2024.2.23,,,,
Cellular,Audio-Visual,A/V,Audio & Visual Recording,DVD,Cellular,,,N7631,,,,New Line Home Entertainment,English,2004,,794043763120,,,,,,,,,,2024.2.24,,,,
Canon ELPH 260Z,Audio-Visual,Visual,Image-making,Still Film Camera,Canon ELPH 260Z,,Canon,ELPH 260Z,,,,,,,,9376494,,,,,,,,,,2024.2.33,,Eric Perez,,
Nikon N6006,Audio-Visual,Visual,Image-making,Still Film Camera,Nikon N6006,,Nikon,N6006,,,,,,,,2067391,,,,,,,,,,2024.2.34,,Eric Perez,,
Polaroid Swinger Land Camera,Audio-Visual,Visual,Image-making,Still Film Camera,Polaroid Swinger Land Camera,,Polaroid,20,,,,,,,,HK7352B,,,,,,,,,,2024.2.44,,,In box,
Herald Solid State Amplifier,Audio-Visual,Audio,Stationary Audio Player,Amplifier,Herald Solid State Amplifier,,Herald,AM-41A,,,,,,,,,,,,,,,,,,2024.2.55,,Eric Perez,New in box,
Lens Hood,Audio-Visual,Visual,Image-making,Camera Accessory,Lens Hood,,Eastman Kodak Company,Series 4,,,,,,,$1.75,,,,,,,,,,,2024.2.62,,,"in box, with lens cleaning pads",
Custom 8 Splicer,Audio-Visual,Visual,Image-making,Editing,Custom 8 Splicer,,Kalart,5395,,,,,,,,,,,,,,,,,8mm Film,2024.2.63,,,"in box, with bottle of splicing cement",
Exposure Meter,Audio-Visual,Visual,Image-making,Camera Accessory,Exposure Meter,,General Electric,Type PR-1,,,,,,,,,,,,,,,,,,2024.2.64,,,"in box, with all materials and leather case",
Polavision Land Camera,Audio-Visual,Visual,Image-making,Motion Film Camera,Polavision Land Camera,,Polaroid,3600,,,,,,,,,,,,,,,,,Polavision 8mm Cartridge,2024.2.65,,Grant Hutchinson,,
Polavision Land Camera,Audio-Visual,Visual,Image-making,Camera Accessory,Polavision Land Camera,,Polaroid,,,,,,,,,,,,,,,,,,,2024.2.66,,Grant Hutchinson,,
Polavision Instant Replay Control,Audio-Visual,Visual,Image-making,Camera Accessory,Polavision Instant Replay Control,,Polaroid,,,,,,,,,,,,,,,,,,,2024.2.67,,Grant Hutchinson,,
Ektralite 10 Camera,Audio-Visual,Visual,Image-making,Still Film Camera,Ektralite 10 Camera,,Eastman Kodak Company,,,,,,,,,,,,,,,,,,110 Film,2024.2.68,,,"In travel case, with manual. ",
Tele-Flash Motor Drive Camera,Audio-Visual,Visual,Image-making,Still Film Camera,Tele-Flash Motor Drive Camera,,Ansco,412,,,,,,,,,,,,,,,,,110 Film,2024.2.69,,,In travel case. Partially exposed film cartridge in camera. ,
Eldorado 8mm Roll Film Movie Camera,Audio-Visual,Visual,Image-making,Motion Film Camera,Eldorado 8mm Roll Film Movie Camera,,DeJur-Amsco Corporation,Eldorado,,,,,,,,,,,,,,,,,8mm Film,2024.2.70,,,"In leather case, with manual.",
Rudolph the Red-Nosed Reindeer,Audio-Visual,A/V,Audio & Visual Recording,VHS,Rudolph the Red-Nosed Reindeer,,,,,"Arthur Rankin, Jr.",,"Golden Books Publishing Company, Inc.",,"1992, 1964",,0-307-14245-0,,,,,,,,,VCR,2024.2.80,,Eric Perez,,
VideoNow Color FX,Audio-Visual,A/V,Portable Video Player,VideoNow,VideoNow Color FX,,Hasbro,,,,,,,2006,,C285B 62401A,,,,,,,,,,2024.4.15,,Eric Perez,,
Sony Video WalkMan,Audio-Visual,A/V,Portable Video Player,Video 8,Sony Video WalkMan,,Sony,GV-8,,,,,,1991,,,,,,,,,,,,2024.5.6,,Eric Perez,"Speaker is dead, battery is dead, works well with DC adapter",
Mary Poppins,Audio-Visual,A/V,Audio & Visual Recording,VHS,Mary Poppins,,,,,Robert Stevenson,,The Walt Disney Company,English,1964,,1-55890-039-X,,,,,,,,,,2024.5.41,,Eric Perez,,
Romantic Moments with Beethoven,Audio-Visual,Audio,Audio Recording,Music DVD,Romantic Moments with Beethoven,,,,,,,Silverline,,1999,,,,,,,,,,,,2024.5.43,,Eric Perez,,
Casablanca,Audio-Visual,A/V,Audio & Visual Recording,SelectaVision VideoDisc,Casablanca,,,,,,,United Artists,English,1970,,,,,,,,,,,,2024.5.47,,Eric Perez,,
LaserDisc Player,Audio-Visual,A/V,Audio & Visual Playback,LaserDisc Player,LaserDisc Player,,Pioneer,CLD-1070,,,,,,1989,,JD 3903592 U,,,,,,,,,,2024.5.57,,Paul Bailey,,
Twin PerfecTape Stereo Videocassette Recorder,Audio-Visual,A/V,Audio & Visual Playback,VCR,Twin PerfecTape Stereo Videocassette Recorder,,Mitsubishi,HS-U540,,,,,,1989,,007089M,,,,,,,,,,2024.5.58,,Kathleen Kennedy,,
"MysteryDisc ""Many Roads To Murder""",Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,"MysteryDisc ""Many Roads To Murder""",,,,,Hy Conrad,,"Parallel Communications, Inc.",English,1983,,V-MD-83-002,,,,,,,,,,2024.5.59,,Paul Bailey,,
Close Encounters of the Third Kind,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Close Encounters of the Third Kind,,DiscoVision Associates,,,Steven Spielberg,,"Columbia Pictures Industries, Inc.",English,1981,,,,,,,,,,,,2024.5.60,,Paul Bailey,,
Star Trek The Motion Picture,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Star Trek The Motion Picture,,,,,,,Paramount Pictures Corporation,English,1981,,,,,,,,,,,,2024.5.61,,Paul Bailey,,
To Save a Life: Choking and CPR,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,To Save a Life: Choking and CPR,,"MCA DiscoVision, Inc.",,,,,"MCA DiscoVision, Inc.",English,1978,,#64-001,,,,,,,,,,2024.5.62,,Paul Bailey,,
"""Jesus Christ Superstar""",Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,"""Jesus Christ Superstar""",,"MCA DiscoVision, Inc.",,,,,"MCA DiscoVision, Inc.",English,1978,,#17-002,,,,,,,,,,2024.5.63,,Paul Bailey,,
"MysteryDisc ""Murder, Anyond?""",Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,"MysteryDisc ""Murder, Anyond?""",,Pioneer Video Corporation,,,,,VidMax Incorporated,English,1982,,V-MD-82-001,,,,,,,,,,2024.5.65,,Paul Bailey,,
The War of the Worlds,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,The War of the Worlds,,Universal Pioneer Corp.,,,,,Paramount Pictures Corporation,English,1981,,LV 5303,,,,,,,,,,2024.5.64,,Paul Bailey,,
Fellini's Casanova,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Fellini's Casanova,,"MCA DiscoVision, Inc.",,,,,"MCA DiscoVision, Inc.",English,1978,,,,,,,,,,,,2024.5.66,,Paul Bailey,,
Koyaanisqatsi: Life Out of Balance,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Koyaanisqatsi: Life Out of Balance,,Pioneer Video Corporation,,,,,Pacific Arts Video Records,English,1985,,,,,,,,,,,,2024.5.67,,Paul Bailey,,
Stereo Cassette Adaptor for 8-Track Tape Players,Audio-Visual,A/V,Audio Accessory,Audio Adapter,Stereo Cassette Adaptor for 8-Track Tape Players,,"Kraco Enterprises, Inc.",KCA-7,,,,,,,,1405138,,,,,,,,,,2024.6.1,,libi striegl,"In box, with manual and warranty card.",
Lonesome Dove Box Set,Audio-Visual,A/V,Audio & Visual Recording,VHS,Lonesome Dove Box Set,,,,,,,"Cabin Fever Entertainment, Inc.",English,1991,,1-56202-837-5,,,,,,,,,,2024.6.2,,,4 VHS Box set,
A Christmas Story,Audio-Visual,A/V,Audio & Visual Recording,VHS,A Christmas Story,,,,,,,Warner Home Video,English,1999,,0-7907-4386-8,,,,,,,,,,2024.6.3,,,,
The Adventures of Rocky and Bullwinkle: La Grande Moose,Audio-Visual,A/V,Audio & Visual Recording,VHS,The Adventures of Rocky and Bullwinkle: La Grande Moose,,,Vol. 5,,,,Buena Vista Home Video,English,1991,,1-55890-023-3,,,,,,,,,,2024.6.4,,,,
The Adventures of Rocky and Bullwinkle: Blue Moose,Audio-Visual,A/V,Audio & Visual Recording,VHS,The Adventures of Rocky and Bullwinkle: Blue Moose,,,Vol. 4,,,,Buena Vista Home Video,English,1991,,1-55890-022-5,,,,,,,,,,2024.6.5,,,,
The Adventures of Rocky and Bullwinkle: Vincent Van Moose,Audio-Visual,A/V,Audio & Visual Recording,VHS,The Adventures of Rocky and Bullwinkle: Vincent Van Moose,,,Vol. 3,,,,Buena Vista Home Video,English,1991,,1-55890-021-7,,,,,,,,,,2024.6.6,,,,
Star Wars Trilogy Box Set,Audio-Visual,A/V,Audio & Visual Recording,VHS,Star Wars Trilogy Box Set,,,,,,,"Twentieth Century Fox Home Entertainment, Inc.",English,1995,,0-7939-0609-1,,,,,,,,,,2024.6.7,,,"A New Hope, The Empire Strikes Back, Return of the Jedi",
More from the Master of Suspense Alfred Hitchcock Box Set,Audio-Visual,A/V,Audio & Visual Recording,VHS,More from the Master of Suspense Alfred Hitchcock Box Set,,,,,,,"Front Row Entertainment, Inc.",English,1995,,0-8255-44022-3-3,,,,,,,,,,2024.6.8,,,"Murder, Young and Innocent, Juno and the Paycock, Rich and Strange",
Suddenly,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Suddenly,,,,,,,"The Roan Group, Inc.",English,1994,,,,,,,,,,,,2024.6.9,,Paul Bailey,,
Paul Simon,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Paul Simon,,,,,,,Pioneer Artists Inc.,English,1981,,,,,,,,,,,,2024.6.10,,Paul Bailey,,
David Bowie: Love You Til Tuesday,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,David Bowie: Love You Til Tuesday,,,,,,,"Media Home Entertainment, Inc.",English,1988,,,,,,,,,,,,2024.6.11,,Paul Bailey,,
The Knack: Live at Carnegie Hall,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,The Knack: Live at Carnegie Hall,,,,,,,Pioneer Video Corporation,English,1980,,,,,,,,,,,,2024.6.12,,Paul Bailey,,
Olivia: Physical,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Olivia: Physical,,,,,,,"MCA Videodisc, Inc.",English,1981,,,,,,,,,,,,2024.6.13,,Paul Bailey,,
Joni Mitchell: Shadows and Light,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Joni Mitchell: Shadows and Light,,,,,,,Pioneer Artists Inc.,English,1981,,,,,,,,,,,,2024.6.14,,Paul Bailey,,
The Rolling Stones: Let's Spend the Night Together,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,The Rolling Stones: Let's Spend the Night Together,,,,,,,Embassy Home Entertainment,English,1983,,,,,,,,,,,,2024.6.15,,Paul Bailey,,
Tommy: The Movie,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Tommy: The Movie,,,,,,,Columbia Pictures Home Video,English,1983,,,,,,,,,,,,2024.6.16,,Paul Bailey,,
Elton John: Visions,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Elton John: Visions,,,,,,,Embassy Home Entertainment,English,1982,,,,,,,,,,,,2024.6.17,,Paul Bailey,,
David Bowie: Serious Moonlight,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,David Bowie: Serious Moonlight,,,,,,,Concert Productions International,English,1984,,,,,,,,,,,,2024.6.18,,Paul Bailey,,
Peter Gabriel: POV,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Peter Gabriel: POV,,,,,,,"Real World Productions, Ltd. ",English,1990,,,,,,,,,,,,2024.6.19,,Paul Bailey,,
Picture Music,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Picture Music,,,,,,,"Picture Music International, Inc.",English,1983,,,,,,,,,,,,2024.6.20,,Paul Bailey,,
Duran Duran,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Duran Duran,,,,,,,TDV Ltd.,English,1983,,,,,,,,,,,,2024.6.21,,Paul Bailey,,
Walt Disney Presents At Home with Donald Duck,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Walt Disney Presents At Home with Donald Duck,,,,,,,"MCA DiscoVision, Inc.",English,1978,,,,,,,,,,,,2024.6.22,,Paul Bailey,,
Walt Disney Presents On Vacation with Mickey Mouse and Friends,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Walt Disney Presents On Vacation with Mickey Mouse and Friends,,,,,,,"MCA DiscoVision, Inc.",English,1978,,,,,,,,,,,,2024.6.23,,Paul Bailey,,
Olivia,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Olivia,,,,,,,"MCA DiscoVision, Inc.",English,1980,,,,,,,,,,,,2024.6.24,,Paul Bailey,,
Fleetwood Mac: Documentary and Live Concert,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Fleetwood Mac: Documentary and Live Concert,,,,,,,"MCA DiscoVision, Inc.",English,1981,,,,,,,,,,,,2024.6.25,,Paul Bailey,,
Elton John: In Concert at Edinburgh,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Elton John: In Concert at Edinburgh,,,,,,,"MCA DiscoVision, Inc.",English,1978,,,,,,,,,,,,2024.6.26,,Paul Bailey,,
"The Best of Tapestry: A Video Album Sampler, Vol. 1",Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,"The Best of Tapestry: A Video Album Sampler, Vol. 1",,,,,,,"Tapestry Video, Inc.",English,1992,,,,,,,,,,,,2024.6.27,,Paul Bailey,,
"Daryl Hall & John Oates, Video Collection: Seven Big Ones",Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,"Daryl Hall & John Oates, Video Collection: Seven Big Ones",,,,,,,"RCA Video Productions, Inc.",English,1984,,,,,,,,,,,,2024.6.28,,Paul Bailey,,
Kim Carnes,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Kim Carnes,,,,,,,EMI America Records,English,1984,,,,,,,,,,,,2024.6.29,,Paul Bailey,,
Godley and Creme: A History Mix,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Godley and Creme: A History Mix,,,,,,,Vestron Music Video Incorporated,English,1987,,,,,,,,,,,,2024.6.30,,Paul Bailey,,
Missing Persons: Surrender Your Heart,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Missing Persons: Surrender Your Heart,,,,,,,"Capitol Records, Inc.",English,1984,,,,,,,,,,,,2024.6.31,,Paul Bailey,,
"Buenhogar 6 Abril, 1976",Audio-Visual,A/V,Audio Recording,Record,"Buenhogar 6 Abril, 1976",,,,,American Foundation for the Blind,,"The Hearst Corporation, Library of Congress",Spanish,1976,,97681-97682,,,,,,,,,,2024.6.32,,libi striegl,"2 discs, 8 1/3 RPM - news broadcast for the blind distributed by the Library of Congress",
Citizen Portable Television,Audio-Visual,A/V,Audio & Visual Display,Television,Citizen Portable Television,,"Citizen Watch Co., Ltd.",DS888-IZ,,,,,,1991,,C8-002159,,,,,,,,,,2024.7.3,,,,
Blonder Tongue VHF Transmitter,Audio-Visual,A/V,Audio & Visual Broadcast,VHF,Blonder Tongue VHF Transmitter,,Blonder-Tongue Laboratories Inc.,,MICM-D,,,,,,,1737570706110894-201128,,,,,,,,,,2024.7.4,,,,
Blonder Tongue VHF Transmitter,Audio-Visual,A/V,Audio & Visual Broadcast,VHF,Blonder Tongue VHF Transmitter,,Blonder-Tongue Laboratories Inc.,,MICM-D,,,,,,,1732330315119632-201112,,,,,,,,,,2024.7.5,,,,
VCR Head Cleaner,Audio-Visual,A/V,Audio & Visual Recording,VCR Maintenance,VCR Head Cleaner,,Recoton Accessories Inc.,,,,,,,,,,,,,,,,,,,2024.7.6,,,,
Pieces of April (Awards Screener),Audio-Visual,A/V,Audio & Visual Recording,VHS,Pieces of April (Awards Screener),,,,,,,,English,2003,,,,,,,,,,,,2024.7.7,,,,
"I, Robot",Audio-Visual,A//V,Audio & Visual Recording,Universal Media Disc,"I, Robot",,,,,,,Sony Computer Entertainment Inc.,English,2005,,,,,,,,,,,PlayStation Portable,2024.7.79,,Eric Perez,,
The Italian Job,Audio-Visual,A//V,Audio & Visual Recording,Universal Media Disc,The Italian Job,,,,,,,Sony Computer Entertainment Inc.,English,2005,,,,,,,,,,,PlayStation Portable,2024.7.80,,Eric Perez,,
iPod Nano,Audio-Visual,A/V,Portable Audio Player,Digital Audio,iPod Nano,,Foxconn,A1137,"Apple Computer, Inc.",,,,,2006,$149.00,5U631BYXUNA,,,,,,,,,,2024.7.105,7/29/2024,In Memoriam Kathleen Ward,"New in box, works beautifully",
Voyager Gallery,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,Voyager Gallery,,,SD1,,,,Optical Data Corporation,English,1988,,,,,,,,,,,,2024.9.4,,Will Tuttle,"Includes LaserDisc and 5.25"" floppy disc",
*batteries not included,Audio-Visual,A/V,Audio & Visual Recording,LaserVideoDisc,*batteries not included,,,,,,,MCA Home Video,English,1988,,,,,,,,,,,,2024.9.5,,Will Tuttle,,
Flight to the Moon - The Voyage of Apollo 11,Audio-Visual,Audio,Audio Recording,Record,Flight to the Moon - The Voyage of Apollo 11,,,,,,,Lincoln Savings and Loan Association,English,,,,,,,,,,,,,2024.12.4,,,,
Star Trek Communicator,Audio-Visual,Audio,Audio Transmission & Reception,Handheld Transceiver,Star Trek Communicator,,,51214,,,,Paramount Pictures Corp.,English,1974,,,,,,,,,,,,2025.3.1,,In Memoriam Christopher Cleary,,
Star Trek Communicator,Audio-Visual,Audio,Audio Transmission & Reception,Handheld Transceiver,Star Trek Communicator,,,51214,,,,Paramount Pictures Corp.,English,1974,,,,,,,,,,,,2025.3.2,,In Memoriam Christopher Cleary,,
Sony Watchmman,Audio-Visual,A/V,Audio & Visual Display,Television,Sony Watchman,,Sony,FD-20A,,,,,,1984,,324654,,,,,,"3.5 MM input, 3.5MM Audio Out",4 AA Battery,,,2025.5.5,,Jerry Stone,"Includes protective case, branded for School Of Mines",
Kodak Disc6000 Camera,Audio-Visual,Visual,Image-making,Still Film Camera,Kodak Disc6000 Camera,,Kodak,Disc6000,,,,,,1982,$89.95,334D4G2,,,,,,,,,Kodak Disc film,2025.5.13,,,,
Nikon Coolpix 880,Audio-Visual,Visual,Image-making,Still Digital Camera,Nikon Coolpix 880,,Nikon,Coolpix 880,,,,,,2000,,3026788,,,,,,SD card slot,"Proprietary A/V connection, DC power",,,2025.5.22,,,Comes with DVD and text manual,
iPod Touch (2nd generation),Audio-Visual,A/V,Portable Audio & Video Player,Digital Audio,iPod Touch (2nd generation),,Apple,A1288,,,,,,2008,$299,1B9134SY203,,,16 GB Flash,128MB DRAM,"Single-core ARM S5L8720, 533MHz",Apple 30 pin connector,,,,2025.6.15,,,,
TDC Headliner Projector,Audio-Visual,Visual,Image-making,Slide Projector,TDC Headliner Projector,,TDC,225,,,,,,,,185-8-66-GLP-FX,,,,,,,,,,2025.7.3,,,,
Kodak Instamatic M6 Movie Camera,Audio-Visual,Visual,Image-making,Motion Film Camera,Kodak Instamatic M6 Movie Camera,,Kodak,M6,,,,,,,,,,,,,,,,,,2025.7.4,,"from Chris Torrence, belonged to Jiwu and Lena Young",,
Data Discman Electronic Book Player,Audio-Visual,Computer System,Handheld,Electronic book reader,Data Discman Electronic Book Reader DD-1EX,,Sony,,,,,,,1991?,,Serial Number 28000,,,,,,,,,,2025.7.5,,,,"Comes in box with power cord, floppy discs, 4 e-book guides, and battery containers"
Digital Mavica,Audio-Visual,A/V,Audio & Visual Recording,Camera,Digital Mavica,,Sony,MVC-FD90,,,,,,1981,,28410,,,,"Mavipak disc? (aka ""digital floppy"")",,,,,,2025.7.7,,,,
Dracula,Audio-Visual,Audio,Portable Audio Player,Playaway,Dracula,,,,Blackstone Audio Inc.,,,"Findaway World, LLC",English,2007,,978-160514719-2,,,,,,3.5 MM input,1 AAA Battery,,,2025.9.52,,,"Built-in audiobook with the 1998 recording of Brian Stoker's ""Dracula"", read by Robert Whitfield",
Wicked,Audio-Visual,Audio,Portable Audio Player,Playaway,Wicked,,,,Recorded Books,,,"Findaway World, LLC",English,2006,,978-1-42814-124-7,,,,,,3.5 MM input,1 AAA Battery,,,2025.9.53,,,"Built-in audiobook for ""Wicked"" by Gregory Maguire, read by John McDonough",
Burt Bacharach's Greatest Hits,Audio-Visual,Audio,Audio Recording,8track,Burt Bacharach's Greatest Hits,,Columbia House,8T-3661,,,,"A&M Records, INC.",English,1973,,,,,,,,,,,,2025.11.2,,,,
Unknown Home Recording,Audio-Visual,Audio,Audio Recording,8track,Unknown Home Recording,,,,,,,,English and Chinese,1977,,,,,,,,,,,,2025.11.3,,,"User-generated audio recording, contains 6 tracks instead of 8",
Al Green Greatest Hits,Audio-Visual,Audio,Audio Recording,8track,Al Green Greatest Hits,,Hi Records,HF8 32089,,,,"London Records, Inc.",English,1975,,,,,,,,,,,,2025.11.4,,,,
Unknown Home Recording 2,Audio-Visual,Audio,Audio Recording,8track,,,,,,,,,Chinese,1977,,,,,,,,,,,,2025.11.5,,,"User-generated audio recording, there are only 2 tracks",
